Headline,Publication,Summary,Date
"Electric Vehicle (BEV, PHEV) Market Trends by 2025: Top Players Like Tesla, Nissan, BYD, BMW, Volkswagen, Toyota, Ford, Volvo, Daimler, Hyundai","ReleaseWire, 1068 words",,5/20/2019
Tesla Closes Acquisition of Ultracapacitor Technology Specialist Maxwell,"M&A Navigator, 526 words",,5/22/2019
Tesla crash raises concern,"Tribune-Review (Greensburg, PA), 240 words",,5/17/2019
"Tesla Driver in Fatal March Crash Was Using Autopilot, NTSB Says","Plus Company Updates(PCU), 359 words",,5/17/2019
Tesla Gets Price-Target Cut at Wedbush as Musk Eyes 'Sci-Fi Projects' Amid Softening Vehicle Demand,"MT Newswires Live Briefs PRO, 347 words",,5/20/2019
Tesla's Shanghai Factory Building Has Been Completed,"Next Big Future, 435 words",,5/20/2019
Tesla stock falls as concerns about demand for Model 3 rise,"The Today File, 266 words",,5/20/2019
Tesla stock falls as concerns about demand for Model 3 rise,"The Associated Press, BUSINESS NEWS, 246 words",,5/20/2019
Tesla Stock Falls as Concerns About Demand for Model 3 Rise,"Indian Manufacturing News, 249 words",,5/21/2019
Tesla stock worth just $10 in worst case: Morgan Stanley,"Trend News Agency - Central Asia (English), WORLD, 291 words",,5/22/2019
Tesla stock worth just $10 in worst case: Morgan Stanley,"Trend News Agency - Central Asia (English), WORLD, 291 words",,5/21/2019
Tesla stock worth just $10 in worst case: Morgan Stanley,"Trend News Agency - Central Asia (English), WORLD, 291 words",,5/22/2019
Tesla updates software after car fires,"thetimes.co.uk, NEWS; Version:1, 402 words",,5/16/2019
Tesla updates software after car fires,"The Times (London), NEWS; Pg. 17, 402 words",,5/17/2019
Tesla updates software after car fires,"The Press (Christchurch, New Zealand), NEWS; INTERNATIONAL; Pg. 3, 433 words",,5/18/2019
Tesla updates software after car fires,"The Dominion Post (Wellington, New Zealand), NEWS; INTERNATIONAL; Pg. 3, 433 words",,5/18/2019
Analyst Claims Apple Made a Bid to Buy Tesla in 2013 at $240 Per Share,"iPhone in Canada, 238 words",,5/21/2019
A star analyst 'turns his back' on Tesla and sinks his actions,"CE Noticias Financieras English, 247 words",,5/22/2019
NTSB: Autopilot Was in Use Before Tesla Hit Semitrailer,"Federal NewsFeed Voice of America, 391 words",,5/16/2019
Tesla charger first for city,"The Chronicle (Toowoomba, Queensland); Pg. 12, 164 words",,5/17/2019
Tesla Closes Acquisition of Ultracapacitor Technology Specialist Maxwell,"FinancialWire, 479 words",,5/22/2019
Tesla Closes Acquisition of Ultracapacitor Technology Specialist Maxwell,"Internet Business News, 471 words",,5/22/2019
Tesla completes takeover of US Maxwell Technologies,"SeeNews Deals, 164 words",,5/16/2019
Tesla dashcam saves Model 3 owner from potential insurance scam,"Governance, Risk & Compliance Monitor Worldwide, 455 words",,5/21/2019
Tesla engineer accuses company of trying to 'silence' employees as she sues for defamation,"telegraph.co.uk, TECHNOLOGY INTELLIGENCE; Version:1, 235 words",,5/18/2019
Tesla in effort to address safety worries after fires;Automobiles,"Financial Times (London, England), COMPANIES AND MARKETS;NEWS; Pg. 12, 396 words",,5/17/2019
Tesla in effort to address safety worries after fires;Automobiles,"Financial Times (London, England), COMPANIES AND MARKETS;FEATURES; Pg. 12, 396 words",,5/17/2019
Tesla in effort to address safety worries after fires;Automobiles,"Financial Times (London, England), COMPANIES AND MARKETS;FEATURES; Pg. 12, 396 words",,5/17/2019
Tesla in effort to address safety worries after fires;Automobiles,"Financial Times (London, England), COMPANIES AND MARKETS;NEWS; Pg. 14, 396 words",,5/17/2019
Tesla losses climb as deliveries dry up,"Windsor Star (Ontario), STAR REVIEW; Pg. SR4, 248 words",,5/17/2019
Tesla major investor flags 'frustration' over Elon Musk target-setting,"Herald Scotland, 334 words",,5/21/2019
Tesla updates software after car fires,"The Times (London), NEWS; Pg. 17, 316 words",,5/17/2019
Farm museum worker's woolly thinking earns him top job at Tesla,"The Times (London), NEWS; Pg. 15, 257 words",,5/22/2019
Farm museum worker's woolly thinking earns him top job at Tesla,"The Times (London), NEWS; Pg. 13, 257 words",,5/22/2019
Farm museum worker's woolly thinking earns him top job at Tesla,"The Times (London), NEWS; Pg. 13, 253 words",,5/22/2019
Maybe there's a hidden Tesla?' Elon Musk boasts about 'heaviest payload' of SpaceX ahead of Starlink launch,"Yourstory.in, 473 words",,5/16/2019
Tesla charger first for city,"The Chronicle (Toowoomba, Queensland); Pg. 12, 165 words",,5/17/2019
Tesla cuts prices on 2 models,"National Post's Financial Post & FP Investing (Canada), FINANCIAL POST; Pg. B5, 152 words",,5/22/2019
Tesla cuts prices on 2 models,"Kingston Whig-Standard, NEWS; Pg. C6, 149 words",,5/22/2019
Tesla cuts prices on 2 models,"National Post's Financial Post & FP Investing (Canada), FINANCIAL POST; Pg. B4, 148 words",,5/22/2019
Tesla cuts prices on 2 models,"National Post's Financial Post & FP Investing (Canada), FINANCIAL POST; Pg. B5, 149 words",,5/22/2019
Tesla cuts prices on 2 models,"National Post's Financial Post & FP Investing (Canada), FINANCIAL POST; Pg. NP5, 152 words",,5/22/2019
Tesla poaches social media genius behind 'absolute unit' sheep meme,"telegraph.co.uk, TECHNOLOGY INTELLIGENCE; Version:2, 373 words",,5/21/2019
Tesla reduces cost of pricey models amid stock slump,"National Post's Financial Post & FP Investing (Canada), FINANCIAL POST; Pg. FP6, 132 words",,5/22/2019
Tesla reduces cost of pricey models amid stock slump,"National Post's Financial Post & FP Investing (Canada), FINANCIAL POST; Pg. FP6, 136 words",,5/22/2019
Tesla shares sink to 2016 lows,"CE Noticias Financieras English, 186 words",,5/20/2019
Why Tesla and Uber are 'black holes' for your money,"AFR Online, 620 words",,5/21/2019
Why Tesla and Uber are cash 'black holes';Technology,"Australian Financial Review, MARKET WRAP; Pg. 33, 582 words",,5/22/2019
Analyst Actions: Tesla's Price Target From Wedbush Cut to $230 as Firm Warns 'Clouds Are Getting Darker',"MT Newswires Live Briefs, 187 words",,5/20/2019
APP STATE ALUMNUS WORKS FOR TESLA AT 'FOREFRONT OF THE RENEWABLE INDUSTRY',"US Fed News, 386 words",,5/20/2019
App State alumnus works for Tesla at the 'forefront of the renewable industry',"US Official News, 386 words",,5/21/2019
Autopilot Was Engaged During Fatal Tesla Crash," PCMag.com, NEWS, 302 words",,5/17/2019
Farm museum worker's woolly thinking earns him top job at Tesla,"thetimes.co.uk, NEWS; Version:1, 249 words",,5/21/2019
NTSB: Autopilot was in use before Tesla hit semitrailer,"The Today File, 282 words",,5/16/2019
"Regulatory update: New York State Department of Public Service; Tesla, Inc. , has submitted ( 17-02273 ) Cover Letter","US Official News, 144 words",,5/17/2019
"Apple eyed Tesla takeover in 2013, analyst says - report","SeeNews Deals, 137 words",,5/22/2019
"Buss Brad W Reports acquisitions by the director Tesla, Inc. [ TSLA ] (California)","US Official News, 57 words",,5/21/2019
"Buss Brad W Reports dispositions by the director Tesla, Inc. [ TSLA ] (California)","US Official News, 57 words",,5/21/2019
Las Vegas is about to take a gamble on Musk's Boring Company;Contract for Tesla-powered underground system reveals lofty goals for a company whose founder is known for missing deadlines,"The Guardian(London), US NEWS; Version:1, 767 words",,5/18/2019
"Musk Elon Reports acquisitions by the director Tesla, Inc. [ TSLA ] (California)","US Official News, 54 words",,5/22/2019
-Nissan collaborates with Tesla in removing lidar for self-driving cars,"FinancialWire, 124 words",,5/17/2019
-Nissan collaborates with Tesla in removing lidar for self-driving cars,"Auto Business News, 116 words",,5/17/2019
Prepare For Battery Metal Shortage: Tesla,"Indian Oil and gas news, 305 words",,5/17/2019
"Taneja Vaibhav Reports acquisitions by the director Tesla, Inc. [ TSLA ] (California)","US Official News, 53 words",,5/20/2019
"Taneja Vaibhav Reports acquisitions by the director Tesla, Inc. [ TSLA ] (California)","US Official News, 53 words",,5/20/2019
"Taneja Vaibhav Reports dispositions by the director Tesla, Inc. [ TSLA ] (California)","US Official News, 53 words",,5/20/2019
"Taneja Vaibhav Reports dispositions by the director Tesla, Inc. [ TSLA ] (California)","US Official News, 53 words",,5/20/2019
"Tesla Model 3 Autopilot System Engaged When it Crashed, Killing Driver, on March 1","MT Newswires Live Briefs, 136 words",,5/16/2019
Tesla's autopilot engaged during deadly car crash,"City A.M., NEWS; Pg. 19, 152 words",,5/17/2019
"US Patent Issued to Tesla on May 21 for ""Closed-loop thermal servicing of solvent-refining columns"" (California Inventor)","US Fed News, 226 words",,5/22/2019
"US Patent Issued to Tesla on May 21 for ""Hinged building integrated photovoltaic roof tile modules"" (California Inventor)","US Fed News, 273 words",,5/22/2019
"US Patent Issued to Tesla on May 21 for ""Trip planning with energy constraint"" (California Inventor)","US Fed News, 252 words",,5/22/2019
"Air pollution, ill health and the need for a 21st-century Model T Ford;Dr Robin Russell-Jones and Geraint Davies MP on the harmful effects of diesel exhaust, and Christine Benning on why we need a cheap electric car for all, not Tesla's Model 3","The Guardian(London), ENVIRONMENT; Version:1, 376 words",,5/22/2019
"Capitol Alliance Group 1st quarter earnings include Tesla, SpaceX billings","Florida Politics, 421 words",,5/21/2019
"Capitol Alliance Group 1st quarter earnings include Tesla, SpaceX billings","State Capital Newsfeed Florida Politics, 421 words",,5/21/2019
Determine which Tesla car involved in fatal accident operated on autopilot,"CE Noticias Financieras English, 128 words",,5/17/2019
"Head Line: WIPO PUBLISHES PATENT OF TESLA, INC. TITLED AS ""HIGH POWER VOLTAGE REGULATOR MODULE""","Plus Patent News, 223 words",,5/18/2019
"Stocks - Kohls, JC Penny, Tesla Fall Premarket; Boeing Rises","Forexpros, 204 words",,5/21/2019
"Tesla on autopilot hits trailer, kills driver","Toronto Sun, NEWS; Pg. A10, 145 words",,5/17/2019
"Tesla on autopilot hits trailer, kills driver","Ottawa Sun, NEWS; Pg. A16, 117 words",,5/17/2019
"Tesla on autopilot hits trailer, kills driver","Edmonton Sun, NEWS; Pg. A51, 145 words",,5/17/2019
"Tesla's Trouble In China, Google Maps' India Play, Facebook's Alumni Network: Your Daily Dozen Briefing","Forbes.com, 496 words",,5/16/2019
"WIPO PUBLISHES PATENT OF TESLA FOR ""HIGH POWER VOLTAGE REGULATOR MODULE"" (AMERICAN INVENTORS)","US Fed News, 259 words",,5/19/2019
"4 - Tesla, Inc. (0001318605) (Issuer)","U.S. Securities and Exchange Commission, 68 words",,5/21/2019
"4 - Tesla, Inc. (0001318605) (Issuer)","Federal NewsFeed U.S. Securities and Exchange Commission, 68 words",,5/21/2019
"SC TO-T/A - Tesla, Inc. (0001318605) (Filed by)","U.S. Securities and Exchange Commission, 130 words",,5/16/2019
"SC TO-T/A - Tesla, Inc. (0001318605) (Filed by)","Federal NewsFeed U.S. Securities and Exchange Commission, 130 words",,5/16/2019
"The driver killed in a recent Model 3 crash was traveling with Autopilot engaged, NTSB report reveals (TSLA)","The Business Insider, 1083 words",,5/16/2019
Electric Car Drivers Potential Drivers — Chime In!,"CleanTechnica, 1215 words",,5/19/2019
Intel AI BrandVoice: Amazing AI: Four Breakthroughs Everyone Should Know About,"Forbes.com, 2044 words",,5/22/2019
Tariffs could zap PolestarTrade war threatens U.S. sales of new electric car brand,"The San Diego Union Tribune, BUSINESS; C; Pg. 1, 976 words",,5/16/2019
Testa in fatal March crash was running on Autopilot; Safety board says driver didn't try to avoid semi,"National Post's Financial Post & FP Investing (Canada), FINANCIAL POST; Pg. FP12, 575 words",,5/17/2019
The Hands-Free Podcast Launches With A Special Guest (Spoiler: It's Me),"CleanTechnica, 524 words",,5/17/2019
business of electric cars,"Pretoria News (South Africa), BUSINESS REPORT; Pg. 16, 265 words",,5/22/2019
Check Out This 'Honda Civic',"CleanTechnica, 697 words",,5/16/2019
FORM 8-K: MAXWELL TECHNOLOGIES INC Files Current Report Updated on 16-05-19,"Plus Company Updates(PCU), 1842 words",,5/17/2019
"FORM 14-proxies: (Maxwell Technologies, Inc) FILES Registration of Securities (2019-05-13)","Plus Company Updates(PCU), 937 words",,5/21/2019
"UK factories hit by falling orders; Jamie Oliver restaurant crisis - as it happened;Rolling coverage of the latest economic and financial news, as UK factory orders slow and Jamie Oliver's restaurant chain slides into administrationLatest: Administrators called in to Jamie Oliver's restaurantsOliver: I'm deeply saddenedStaff fear job cuts; suppliers face lossesUK factory orders weakenPound hits four-month low","The Guardian(London), BUSINESS; Version:17, 9209 words",,5/21/2019
California car sales slow down in the first quarter,"The San Diego Union Tribune, BUSINESS; C; Pg. 1, 1048 words",,5/22/2019
"Google Restricting Access To The Chinese At Tech Giants From Use Of Its Apps; Deutsche Bank Stock Hitting A Record Low Following A UBS Downgrade ""Game Of Thrones,"" The Latest Casualty Of The U.S.-China Trade War. Aired 9-10a ET","CNN INTERNATIONAL, FIRST MOVE WITH JULIA CHATTERLEY 9:00 AM EST, NEWS; International, 8223 words",,5/20/2019
Philip Morris Campaigns for a Smoke-Free Future; Tech Stocks Slide on U.S. Decision to Blacklist Huawei; White House Blocks McGahn's Testimony on Capitol Hill. Aired 3-4p ET,"CNN INTERNATIONAL, QUEST MEANS BUSINESS 3:00 PM EST, NEWS; International, 8025 words",,5/20/2019
"Stocks Slide As China Trade War Hopes Fade; Deere, Baidu Take Earnings Dives","Investor's Business Daily, STOCK MARKET TODAY, 1236 words",,5/17/2019
Theresa May Promises to Give Lawmakers a Vote on Whether to Hold a Second National Referendum on Brexit; Formula One Legend Niki Lauda Dies at Age 70; Celebrity Chef Jamie Oliver's Restaurant Chain Collapses. Aired 3- 4p ET,"CNN INTERNATIONAL, QUEST MEANS BUSINESS 3:00 PM EST, NEWS; International, 8172 words",,5/21/2019
Top Paid CEOs for 2018,"Investopedia Stock Analysis, 1463 words",,5/20/2019
Warning: Rapid technological advances will likely increase challenges for UK companies,"Herald Scotland, 1257 words",,5/21/2019
"Auto Stock Roundup: Volkswagen to Build Plants in China, Magna Q1 Earnings Miss","Zacks Investment Research, 2015 words",,5/16/2019
Drivers start journey toward zero carbon,"Star Tribune (Minneapolis, MN), NEWS; Pg. 1A, 1684 words",,5/19/2019
Industrial Employment Still On YOY Growth Track But Some Negative Trends Emerge,"Electrical Marketing, 419 words",,5/17/2019
"Rep. Debbie Dingell (D) Michigan Is Interviewed About Her Reaction On The Banning Of Telecom Gear From Foreign Adversaries, Targeting Huawei And ZTE; Rep. Debbie Lesko (R) Arizona Is Interviewed About The National Security Risks From China; U.S.-China Trade Turmoil; Southern Border Crisis; Wall Street Journal: Barr Says He Isn't Blocking Mueller's Testimony To Congress; Tension Increases In Iran; FAA Defends Handling Of Boeing 737 MAX; Socialism Around The Globe; De Blasio Enters 2020 Race","MORNINGS WITH MARIA, MORNINGS WITH MARIA 6:00 AM EST, NEWS; Financial, 7672 words",,5/16/2019
